date,place,opponent_1,opponent_2,opponent_1_estimated_punch_power,opponent_2_estimated_punch_power,opponent_1_estimated_punch_resistance,opponent_2_estimated_punch_resistance,opponent_1_estimated_ability_to_take_punch,opponent_2_estimated_ability_to_take_punch,opponent_1_rounds_boxed,opponent_2_rounds_boxed,opponent_1_round_ko_percentage,opponent_2_round_ko_percentage,opponent_1_has_been_ko_percentage,opponent_2_has_been_ko_percentage,opponent_1_avg_weight,opponent_2_avg_weight,verdict,opponent_1_name_clean,opponent_2_name_clean,opponent_1_name,opponent_1_wins,opponent_1_looses,opponent_1_draws,opponent_1_ko_rate,opponent_1_stance,opponent_1_age,opponent_1_height,opponent_1_reach,opponent_1_country,opponent_2_name,opponent_2_wins,opponent_2_looses,opponent_2_draws,opponent_2_ko_rate,opponent_2_stance,opponent_2_age,opponent_2_height,opponent_2_reach,opponent_2_country,opponent_1_verdict,opponent_2_verdict
16 September 2017,Unknown,Aj Carter ,Daniel Dubois,68,68,39.7,27.8,45.0,60.0,18,7.0,22.22,71.43,14.29,39.6,216.79,230.38,Dubois won via TKO in round 1,aj carter,daniel dubois,,22.0,3.0,0.0,57%,Southpaw,30,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,daniel dubois,15.0,1.0,0.0,87.5%,Orthodox,25.0,6.36 ft (1.94 m),Unknown,United Kingdom,LOSS,WON
8 July 2017,Unknown,Mauricio Barragan ,Daniel Dubois,64,64,45.1,21.8,55.0,56.0,51,191.0,55.3,80.0,6.25,33.6,179.44,240.83,Dubois won via KO in round 2,mauricio barragan,daniel dubois,,22.0,1.0,0.0,62%,Orthodox,36,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,daniel dubois,15.0,1.0,0.0,87.5%,Orthodox,25.0,6.36 ft (1.94 m),Unknown,United Kingdom,LOSS,WON
26 August 2017,Unknown,Floyd Mayweather Jr ,Conor Mcgregor,67,67,69.0,80.1,86.0,84.6,387,97.0,6.72,73.5,0.0,0.0,136.76,91.6,Mayweather Jr won via TKO in round 10,floyd mayweather jr,conor mcgregor,floyd mayweather jr,50.0,0.0,0.0,52.9%,Orthodox,45,5.68 ft (1.73 m),72.05 inches (183 cm),United States,,21.0,3.0,0.0,52%,Orthodox,34.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,WON,LOSS
28 October 2017,Unknown,Carlos Takam ,Anthony Joshua,71,71,58.6,67.9,79.0,82.0,184,55.0,14.67,34.55,2.56,10.7,236.71,237.26,Joshua won via TKO in round 10,carlos takam,anthony joshua,carlos takam,38.0,5.0,1.0,63.6%,Orthodox,41,6.20 ft (1.89 m),Unknown,Cameroon,anthony joshua,24.0,1.0,0.0,88%,Orthodox,32.0,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom,LOSS,WON
23 September 2017,Unknown,Jorge Linares ,Luke Campbell,70,70,61.9,58.6,76.0,69.0,268,96.0,10.07,14.58,6.67,22.3,128.77,135.31,Linares won via SD in round 12,jorge linares,luke campbell,jorge linares,46.0,5.0,0.0,56.9%,Orthodox,37,5.71 ft (1.74 m),69.29 inches (176 cm),"Venezuela, Bolivarian Republic of",luke campbell,20.0,3.0,0.0,66.7%,Southpaw,34.0,5.74 ft (1.75 m),70.87 inches (180 cm),United Kingdom,WON,LOSS
16 September 2017,Unknown,Saul Alvarez ,Gennady Golovkin,72,72,59.2,66.5,84.0,84.0,352,170.0,9.66,19.41,0.0,0.0,152.97,159.65,Draw - 12 round SD decision,saul alvarez,gennady golovkin,Saul Alvarez,54.0,1.0,2.0,63.2%,Orthodox,32,5.74 ft (1.75 m),70.47 inches (179 cm),Mexico,gennady golovkin,41.0,1.0,1.0,83.7%,Orthodox,40.0,5.87 ft (1.79 m),70.08 inches (178 cm),Kazakhstan,DRAW,DRAW
9 December 2017,Unknown,Dorian Darch ,Daniel Dubois,49,49,52.4,29.7,43.0,60.0,39,170.0,87.1,75.0,18.18,34.9,236.59,230.38,Dubois won via TKO in round 2,dorian darch,daniel dubois,,12.0,0.0,0.0,40%,Orthodox,34,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,daniel dubois,15.0,1.0,0.0,87.5%,Orthodox,25.0,6.36 ft (1.94 m),Unknown,United Kingdom,LOSS,WON
4 November 2017,Unknown,Adrian Granados ,Shawn Porter,61,61,52.7,62.4,78.0,80.0,145,183.0,8.28,9.29,0.0,0.0,141.39,152.53,Porter won via UD in round 12,adrian granados,shawn porter,adrian granados,20.0,8.0,2.0,45.2%,Orthodox,33,5.74 ft (1.75 m),74.02 inches (188 cm),Mexico,shawn porter,30.0,3.0,1.0,48.6%,Orthodox,34.0,5.58 ft (1.70 m),69.69 inches (177 cm),United States,LOSS,WON
18 November 2017,Unknown,Horacio Garcia ,Carl Frampton,66,66,48.2,60.3,74.0,77.0,195,152.0,12.31,9.21,0.0,0.0,122.48,121.85,Frampton won via UD in round 10,horacio garcia,carl frampton,,11.0,2.0,2.0,50%,Southpaw,32,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,carl frampton,27.0,2.0,0.0,50%,Orthodox,35.0,5.41 ft (1.65 m),61.81 inches (157 cm),United Kingdom,LOSS,WON
30 December 2017,Unknown,Yoan Boyeaux ,Naoya Inoue,65,65,47.8,62.4,77.0,72.0,162,88.0,12.35,13.64,0.0,0.0,119.97,109.2,Inoue won via TKO in round 3,yoan boyeaux,naoya inoue,,36.0,1.0,2.0,68%,Southpaw,27,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,naoya inoue,20.0,0.0,0.0,85%,Orthodox,29.0,5.35 ft (1.63 m),66.93 inches (170 cm),Japan,LOSS,WON
20 January 2018,Unknown,Lamont Peterson ,Errol Spence Jr,62,62,59.4,59.9,79.0,76.0,276,88.0,84.1,21.59,2.56,14.4,173.24,148.71,Spence Jr won via RTD in round 7,lamont peterson,errol spence jr,lamont peterson,35.0,5.0,1.0,41.5%,Orthodox,38,5.74 ft (1.75 m),72.05 inches (183 cm),United States,errol spence jr,26.0,0.0,0.0,77.8%,Orthodox,32.0,5.84 ft (1.78 m),72.05 inches (183 cm),United States,LOSS,WON
21 April 2018,Unknown,Nonito Donaire ,Carl Frampton,71,71,63.9,60.8,81.0,77.0,255,162.0,9.41,8.64,2.38,38.5,157.87,121.85,Frampton won via UD in round 12,nonito donaire,carl frampton,nonito donaire,40.0,6.0,0.0,54.2%,Orthodox,39,5.45 ft (1.66 m),68.11 inches (173 cm),Philippines,carl frampton,27.0,2.0,0.0,50%,Orthodox,35.0,5.41 ft (1.65 m),61.81 inches (157 cm),United Kingdom,LOSS,WON
31 March 2018,Unknown,David Price ,Alexander Povetkin,74,74,64.8,72.4,71.0,81.0,77,219.0,22.08,10.5,16.67,30.2,246.75,235.57,Povetkin won via KO in round 5,david price,alexander povetkin,david price,23.0,7.0,0.0,63.3%,Orthodox,39,6.66 ft (2.03 m),81.89 inches (208 cm),United Kingdom,alexander povetkin,36.0,2.0,1.0,62.5%,Orthodox,42.0,6.17 ft (1.88 m),75.20 inches (191 cm),Russian Federation,LOSS,WON
3 March 2018,Unknown,Luis Ortiz ,Deontay Wilder,75,75,63.9,61.9,79.0,81.0,122,113.0,19.67,33.63,0.0,0.0,237.75,243.1,Wilder won via TKO in round 10,luis ortiz,deontay wilder,luis ortiz,31.0,2.0,0.0,72.2%,Orthodox,43,6.33 ft (1.93 m),83.86 inches (213 cm),Cuba,deontay wilder,42.0,1.0,1.0,93.2%,Orthodox,36.0,6.56 ft (2.00 m),83.07 inches (211 cm),United States,LOSS,WON
31 March 2018,Unknown,Joseph Parker ,Anthony Joshua,78,78,63.0,68.6,82.0,82.0,123,65.0,14.63,30.77,0.0,0.0,247.77,237.26,Joshua won via UD in round 12,joseph parker,anthony joshua,joseph parker,27.0,2.0,0.0,72.4%,Orthodox,30,6.33 ft (1.93 m),75.98 inches (193 cm),New Zealand,anthony joshua,24.0,1.0,0.0,88%,Orthodox,32.0,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom,LOSS,WON
5 May 2018,Unknown,Troy James ,Luke Campbell,54,54,54.5,59.6,58.0,71.0,109,108.0,4.59,12.96,4.76,27.1,132.74,135.24,Campbell won via TKO in round 5,troy james,luke campbell,,21.0,2.0,0.0,61%,Orthodox,26,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,luke campbell,20.0,3.0,0.0,66.7%,Southpaw,34.0,5.74 ft (1.75 m),70.87 inches (180 cm),United Kingdom,LOSS,WON
5 May 2018,Unknown,Vanes Martirosyan ,Gennady Golovkin,67,67,62.9,67.0,79.0,84.0,224,182.0,9.38,18.13,0.0,0.0,164.37,159.66,Golovkin won via KO in round 2,vanes martirosyan,gennady golovkin,vanes martirosyan,36.0,4.0,1.0,51.2%,Orthodox,36,6.00 ft (1.83 m),72.83 inches (185 cm),United States,gennady golovkin,41.0,1.0,1.0,83.7%,Orthodox,40.0,5.87 ft (1.79 m),70.08 inches (178 cm),Kazakhstan,LOSS,WON
12 May 2018,Unknown,Jorge Linares ,Vasyl Lomachenko,69,69,62.5,73.4,77.0,78.0,292,93.0,9.25,8.6,6.38,8.1,128.89,127.11,Lomachenko won via TKO in round 10,jorge linares,vasyl lomachenko,jorge linares,46.0,5.0,0.0,56.9%,Orthodox,37,5.71 ft (1.74 m),69.29 inches (176 cm),"Venezuela, Bolivarian Republic of",vasyl lomachenko,14.0,2.0,0.0,62.5%,Southpaw,34.0,5.51 ft (1.68 m),65.35 inches (166 cm),Ukraine,LOSS,WON
19 May 2018,Unknown,Lee Selby ,Josh Warrington,60,60,60.4,57.6,71.0,70.0,207,193.0,4.35,3.11,0.0,0.0,128.39,127.08,Warrington won via SD in round 12,lee selby,josh warrington,lee selby,28.0,3.0,0.0,26.5%,Orthodox,35,5.71 ft (1.74 m),68.90 inches (175 cm),United Kingdom,josh warrington,30.0,0.0,0.0,23.3%,Orthodox,31.0,5.58 ft (1.70 m),Unknown,United Kingdom,LOSS,WON
25 May 2018,Unknown,Jamie Mcdonnell ,Naoya Inoue,60,60,58.5,63.3,77.0,73.0,245,91.0,5.31,14.29,0.0,0.0,123.22,109.2,Inoue won via TKO in round 1,jamie mcdonnell,naoya inoue,jamie mcdonnell,30.0,3.0,1.0,37.1%,Orthodox,36,5.68 ft (1.73 m),Unknown,United Kingdom,naoya inoue,20.0,0.0,0.0,85%,Orthodox,29.0,5.35 ft (1.63 m),66.93 inches (170 cm),Japan,LOSS,WON
9 June 2018,Unknown,Sefer Seferi ,Tyson Fury,68,68,43.3,65.6,61.0,79.0,69,146.0,26.09,12.33,0.0,0.0,197.91,248.92,Fury won via RTD in round 4,sefer seferi,tyson fury,,35.0,0.0,0.0,51%,Orthodox,28,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,tyson fury,30.0,0.0,1.0,65.6%,Orthodox,34.0,6.76 ft (2.06 m),85.04 inches (216 cm),United Kingdom,LOSS,WON
16 June 2018,Unknown,Errol Spence Jr ,Carlos Ocampo,82,82,60.8,51.4,76.0,79.0,95,120.0,21.05,10.83,0.0,0.0,148.6,143.08,Spence Jr won via KO in round 1,errol spence jr,carlos ocampo,errol spence jr,26.0,0.0,0.0,77.8%,Orthodox,32,5.84 ft (1.78 m),72.05 inches (183 cm),United States,,10.0,1.0,2.0,50%,Southpaw,38.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,WON,LOSS
8 September 2018,Unknown,Danny Garcia ,Shawn Porter,70,70,64.6,62.9,81.0,80.0,227,195.0,8.81,8.72,0.0,0.0,141.8,152.53,Porter won via UD in round 12,danny garcia,shawn porter,danny garcia,36.0,2.0,0.0,53.8%,Orthodox,34,5.71 ft (1.74 m),68.50 inches (174 cm),United States,shawn porter,30.0,3.0,1.0,48.6%,Orthodox,34.0,5.58 ft (1.70 m),69.69 inches (177 cm),United States,LOSS,WON
28 July 2018,Unknown,Dillian Whyte ,Joseph Parker,71,71,60.4,63.8,77.0,85.0,110,135.0,15.45,13.33,4.17,18.8,228.91,247.77,Whyte won via UD in round 12,dillian whyte,joseph parker,dillian whyte,27.0,2.0,0.0,58.1%,Orthodox,34,Unknown,Unknown,United Kingdom,joseph parker,27.0,2.0,0.0,72.4%,Orthodox,30.0,6.33 ft (1.93 m),75.98 inches (193 cm),New Zealand,WON,LOSS
18 August 2018,Unknown,Carl Frampton ,Luke Jackson,70,70,61.6,36.9,77.0,54.0,174,209.0,8.05,17.39,0.0,0.0,121.85,128.95,Frampton won via TKO in round 9,carl frampton,luke jackson,carl frampton,27.0,2.0,0.0,50%,Orthodox,35,5.41 ft (1.65 m),61.81 inches (157 cm),United Kingdom,luke jackson,7.0,1.0,0.0,50%,Orthodox,37.0,5.54 ft (1.69 m),Unknown,Australia,WON,LOSS
22 September 2018,Unknown,Alexander Povetkin ,Anthony Joshua,75,75,72.3,69.4,81.0,83.0,224,77.0,10.71,25.97,0.0,0.0,235.57,237.26,Joshua won via TKO in round 7,alexander povetkin,anthony joshua,alexander povetkin,36.0,2.0,1.0,62.5%,Orthodox,42,6.17 ft (1.88 m),75.20 inches (191 cm),Russian Federation,anthony joshua,24.0,1.0,0.0,88%,Orthodox,32.0,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom,LOSS,WON
15 September 2018,Unknown,Saul Alvarez ,Gennady Golovkin,72,72,59.7,67.3,85.0,84.0,364,184.0,9.34,18.48,0.0,0.0,153.13,159.66,Alvarez won via MD in round 12,saul alvarez,gennady golovkin,Saul Alvarez,54.0,1.0,2.0,63.2%,Orthodox,32,5.74 ft (1.75 m),70.47 inches (179 cm),Mexico,gennady golovkin,41.0,1.0,1.0,83.7%,Orthodox,40.0,5.87 ft (1.79 m),70.08 inches (178 cm),Kazakhstan,WON,LOSS
22 September 2018,Unknown,Yvan Mendy ,Luke Campbell,60,60,54.1,59.6,66.0,71.0,296,113.0,6.42,13.27,0.0,0.0,139.83,135.24,Campbell won via UD in round 12,yvan mendy,luke campbell,yvan mendy,43.0,5.0,1.0,42%,Orthodox,37,Unknown,Unknown,France,luke campbell,20.0,3.0,0.0,66.7%,Southpaw,34.0,5.74 ft (1.75 m),70.87 inches (180 cm),United Kingdom,LOSS,WON
7 October 2018,Unknown,Juan Carlos Payano ,Naoya Inoue,60,60,53.1,64.3,73.0,73.0,137,92.0,6.57,15.22,0.0,0.0,119.18,109.2,Inoue won via KO in round 1,juan carlos payano,naoya inoue,juan carlos payano,21.0,3.0,0.0,37.5%,Southpaw,38,5.41 ft (1.65 m),64.57 inches (164 cm),Dominican Republic,naoya inoue,20.0,0.0,0.0,85%,Orthodox,29.0,5.35 ft (1.63 m),66.93 inches (170 cm),Japan,LOSS,WON
27 October 2018,Unknown,Tony Dixon ,Kieran Gething,53,53,49.9,53.5,44.0,53.0,32,38.0,3.13,5.26,14.29,26.1,151.06,77.5,Dixon won via PTS in round 10,tony dixon,kieran gething,,39.0,0.0,0.0,57%,Southpaw,27,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,,16.0,2.0,1.0,36%,Orthodox,38.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,WON,LOSS
1 December 2018,Unknown,Deontay Wilder ,Tyson Fury,89,89,62.4,65.9,82.0,82.0,123,160.0,31.71,11.88,0.0,0.0,243.1,248.92,Draw - 12 round SD decision,deontay wilder,tyson fury,deontay wilder,42.0,1.0,1.0,93.2%,Orthodox,36,6.56 ft (2.00 m),83.07 inches (211 cm),United States,tyson fury,30.0,0.0,1.0,65.6%,Orthodox,34.0,6.76 ft (2.06 m),85.04 inches (216 cm),United Kingdom,DRAW,DRAW
22 December 2018,Unknown,David Price ,Tom Little,73,73,65.9,55.3,68.0,55.0,86,45.0,19.77,85.5,23.08,25.0,246.75,224.25,Price won via TKO in round 4,david price,tom little,david price,23.0,7.0,0.0,63.3%,Orthodox,39,6.66 ft (2.03 m),81.89 inches (208 cm),United Kingdom,,23.0,4.0,0.0,48%,Orthodox,28.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,WON,LOSS
15 December 2018,Unknown,Saul Alvarez ,Rocky Fielding,72,72,60.2,58.5,85.0,73.0,376,129.0,9.04,11.63,16.7,3.57,153.27,169.47,Alvarez won via TKO in round 3,saul alvarez,rocky fielding,Saul Alvarez,54.0,1.0,2.0,63.2%,Orthodox,32,5.74 ft (1.75 m),70.47 inches (179 cm),Mexico,rocky fielding,28.0,2.0,0.0,53.3%,Orthodox,35.0,Unknown,Unknown,United Kingdom,WON,LOSS
19 January 2019,Unknown,Manny Pacquiao ,Adrien Broner,71,71,66.3,58.0,79.0,82.0,462,223.0,8.44,10.76,4.35,19.4,123.9,134.88,Pacquiao won via UD in round 12,manny pacquiao,adrien broner,manny pacquiao,62.0,7.0,2.0,54.9%,Southpaw,43,5.54 ft (1.69 m),66.93 inches (170 cm),Philippines,adrien broner,33.0,4.0,1.0,61.5%,Orthodox,33.0,5.51 ft (1.68 m),68.90 inches (175 cm),United States,WON,LOSS
22 December 2018,Unknown,Josh Warrington ,Carl Frampton,53,53,58.1,61.3,70.0,77.0,205,183.0,2.93,8.2,0.0,0.0,127.08,121.85,Warrington won via UD in round 12,josh warrington,carl frampton,josh warrington,30.0,0.0,0.0,23.3%,Orthodox,31,5.58 ft (1.70 m),Unknown,United Kingdom,carl frampton,27.0,2.0,0.0,50%,Orthodox,35.0,5.41 ft (1.65 m),61.81 inches (157 cm),United Kingdom,WON,LOSS
2 February 2019,Unknown,Henry Janes ,Kieran Gething,48,48,48.8,52.6,46.0,53.0,121,48.0,82.2,4.17,23.08,19.4,247.35,63.2,Gething won via PTS in round 10,henry janes,kieran gething,,29.0,4.0,2.0,52%,Orthodox,32,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,,17.0,2.0,2.0,79%,Orthodox,31.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,LOSS,WON
23 February 2019,Unknown,James Degale ,Chris Eubank Jr,69,69,66.8,60.9,78.0,76.0,198,172.0,7.58,12.21,0.0,0.0,168.17,161.7,Eubank Jr won via UD in round 12,james degale,chris eubank jr,,22.0,3.0,1.0,40%,Orthodox,38,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,chris eubank jr,29.0,2.0,0.0,71%,Orthodox,32.0,5.91 ft (1.80 m),72.44 inches (184 cm),United Kingdom,LOSS,WON
8 March 2019,Unknown,Razvan Cojanu ,Daniel Dubois,59,59,49.5,39.4,68.0,63.0,93,28.0,9.68,32.14,9.52,12.3,242.75,230.38,Dubois won via KO in round 2,razvan cojanu,daniel dubois,,26.0,2.0,0.0,78%,Southpaw,37,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,daniel dubois,15.0,1.0,0.0,87.5%,Orthodox,25.0,6.36 ft (1.94 m),Unknown,United Kingdom,LOSS,WON
9 March 2019,Unknown,Yordenis Ugas ,Shawn Porter,63,63,57.3,63.5,73.0,80.0,153,207.0,7.19,8.21,0.0,0.0,144.06,152.53,Porter won via SD in round 12,yordenis ugas,shawn porter,yordenis ugas,25.0,4.0,0.0,41.4%,Orthodox,36,5.74 ft (1.75 m),68.90 inches (175 cm),Cuba,shawn porter,30.0,3.0,1.0,48.6%,Orthodox,34.0,5.58 ft (1.70 m),69.69 inches (177 cm),United States,LOSS,WON
15 March 2019,Unknown,Adrian Young ,Luke Campbell,63,63,39.8,60.0,70.0,71.0,93,125.0,16.13,12.0,0.0,0.0,124.01,135.24,Campbell won via TKO in round 5,adrian young,luke campbell,,17.0,3.0,0.0,71%,Southpaw,25,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,luke campbell,20.0,3.0,0.0,66.7%,Southpaw,34.0,5.74 ft (1.75 m),70.87 inches (180 cm),United Kingdom,LOSS,WON
16 March 2019,Unknown,J'leon Love ,David Benavidez,63,63,56.6,40.0,75.0,78.0,166,77.0,7.83,23.38,3.57,16.3,163.3,181.05,Benavidez won via KO in round 2,j'leon love,david benavidez,j'leon love,24.0,3.0,1.0,44.8%,Orthodox,34,5.84 ft (1.78 m),Unknown,United States,david benavidez,23.0,0.0,0.0,87%,Orthodox,25.0,Unknown,Unknown,United States,LOSS,WON
16 March 2019,Unknown,Mikey Garcia ,Errol Spence Jr,75,75,63.5,61.5,79.0,76.0,214,96.0,14.02,21.88,0.0,0.0,127.69,148.6,Spence Jr won via UD in round 12,mikey garcia,errol spence jr,mikey garcia,40.0,1.0,0.0,73.2%,Orthodox,34,5.51 ft (1.68 m),68.11 inches (173 cm),United States,errol spence jr,26.0,0.0,0.0,77.8%,Orthodox,32.0,5.84 ft (1.78 m),72.05 inches (183 cm),United States,LOSS,WON
30 March 2019,Unknown,Kash Ali ,David Price,51,51,47.9,65.6,51.0,69.0,26,90.0,66.7,20.0,4.8,22.22,220.04,246.75,Price won via DQ in round 5,kash ali,david price,,26.0,1.0,2.0,53%,Southpaw,37,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,david price,23.0,7.0,0.0,63.3%,Orthodox,39.0,6.66 ft (2.03 m),81.89 inches (208 cm),United Kingdom,LOSS,WON
30 March 2019,Unknown,Robbie Davies Jnr ,Joe Hughes,71,71,56.1,51.0,59.0,59.0,101,158.0,11.88,4.43,5.56,6.7,143.59,141.86,Davies Jnr won via UD in round 12,robbie davies jnr,joe hughes,,18.0,1.0,0.0,64%,Orthodox,34,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,,32.0,1.0,2.0,84%,Southpaw,37.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,WON,LOSS
30 March 2019,Unknown,Anthony Fowler ,Scott Fitzgerald,80,80,41.3,41.7,58.0,60.0,35,49.0,25.71,18.37,0.0,0.0,157.3,89.7,Fitzgerald won via SD in round 10,anthony fowler,scott fitzgerald,anthony fowler,14.0,1.0,0.0,73.3%,Orthodox,31,5.91 ft (1.80 m),Unknown,United Kingdom,Scott Fitzgerald,14.0,0.0,0.0,64.3%,Orthodox,30.0,Unknown,Unknown,United Kingdom,LOSS,WON
